NCBI GeneID	Symbol	Chromosomes	Annotation Genomic Range Accession 	Annotation Genomic Range Start	Annotation Genomic Range Stop
7421	VDR	12	NC_060936.1	47802918	47866398
4318	MMP9	20	NC_000020.11	46008908	46016561
4318	MMP9	20	NC_060944.1	47744921	47752589
29126	CD274	9	NC_000009.12	5450542	5470554
29126	CD274	9	NC_060933.1	5455669	5475674
1401	CRP	1	NC_000001.11	159712289	159714589
1401	CRP	1	NC_060925.1	158849333	158851633
367	AR	X	NC_000023.11	67544021	67730619
367	AR	X	NC_060947.1	65973852	66160479
9370	ADIPOQ	3	NC_000003.12	186842710	186858463
9370	ADIPOQ	3	NC_060927.1	189664780	189680531
207	AKT1	14	NC_000014.9	104769349	104795748
207	AKT1	14	NC_060938.1	99012235	99038624
5243	ABCB1	7	NC_000007.14	87503017	87713295
5243	ABCB1	7	NC_060931.1	88752787	88963178
4790	NFKB1	4	NC_000004.12	102501359	102617302
4790	NFKB1	4	NC_060928.1	105815285	105931246
3553	IL1B	2	NC_000002.12	112829751	112836779
3553	IL1B	2	NC_060926.1	113256242	113263270
1499	CTNNB1	3	NC_000003.12	41199505	41240443
1499	CTNNB1	3	NC_060927.1	41214904	41255840
3123	HLA-DRB1	6	NC_000006.12	32578775	32589848
3123	HLA-DRB1	6	NT_113891.3	3998045	4011447
3123	HLA-DRB1	6	NT_167245.2	3814543	3830112
3123	HLA-DRB1	6	NT_167246.2	3988951	4004510
3123	HLA-DRB1	6	NT_167248.2	3779010	3792428
3123	HLA-DRB1	6	NT_167249.2	3979128	3993841
3123	HLA-DRB1	6	NC_060930.1	32408987	32422414
5728	PTEN	10	NC_000010.11	87863625	87971930
5728	PTEN	10	NW_013171807.1	79449	187719
5728	PTEN	10	NC_060934.1	88747528	88855830
1029	CDKN2A	9	NC_000009.12	21967752	21995324
1029	CDKN2A	9	NC_060933.1	21982052	22009697
7099	TLR4	9	NC_000009.12	117704403	117724735
7099	TLR4	9	NC_060933.1	129898286	129918621
6622	SNCA	4	NC_000004.12	89724099	89838304
6622	SNCA	4	NC_060928.1	93055378	93169553
5743	PTGS2	1	NC_000001.11	186671791	186680423
5743	PTGS2	1	NC_060925.1	186026616	186035248
1080	CFTR	7	NC_000007.14	117480025	117668665
1080	CFTR	7	NC_060931.1	118795361	118984026
4846	NOS3	7	NC_000007.14	150991017	151014588
4846	NOS3	7	NC_060931.1	152163824	152187711
4137	MAPT	17	NC_000017.11	45894554	46028334
4137	MAPT	17	NT_167251.2	760287	893665
4137	MAPT	17	NT_187663.1	596685	730446
4137	MAPT	17	NC_060941.1	46756177	46889953
7015	TERT	5	NC_000005.10	1253167	1295068
7015	TERT	5	NC_060929.1	1160074	1202878
4609	MYC	8	NC_000008.11	127735434	127742951
4609	MYC	8	NC_060932.1	128862888	128870405
3576	CXCL8	4	NC_000004.12	73740569	73743716
3576	CXCL8	4	NC_060928.1	77084334	77087480
1312	COMT	22	NC_000022.11	19941772	19969975
1312	COMT	22	NC_060946.1	20319463	20347602
2475	MTOR	1	NC_000001.11	11106535	11262551
2475	MTOR	1	NC_060925.1	10648106	10804142
5468	PPARG	3	NC_000003.12	12287368	12434344
5468	PPARG	3	NC_060927.1	12285564	12432191
6532	SLC6A4	17	NC_000017.11	30194319	30235697
6532	SLC6A4	17	NC_060941.1	31138872	31180231
999	CDH1	16	NC_000016.10	68737292	68835537
999	CDH1	16	NC_060940.1	74533467	74631804
3479	IGF1	12	NC_000012.12	102395874	102481839
3479	IGF1	12	NC_060936.1	102357015	102443074
3106	HLA-B	6	NC_000006.12	31353875	31357179
3106	HLA-B	6	NT_113891.3	2834235	2837538
3106	HLA-B	6	NT_167246.2	2662487	2665791
3106	HLA-B	6	NT_167247.2	2695847	2699630
3106	HLA-B	6	NT_167248.2	2609572	2612876
3106	HLA-B	6	NT_167249.2	2656113	2659417
3106	HLA-B	6	NC_060930.1	31209767	31213072
3952	LEP	7	NC_000007.14	128241278	128257629
3952	LEP	7	NC_060931.1	129552743	129569093
596	BCL2	18	NC_000018.10	63123346	63320090
596	BCL2	18	NC_060942.1	63326497	63525122
675	BRCA2	13	NC_000013.11	32315077	32400268
675	BRCA2	13	NC_060937.1	31532322	31617510
7852	CXCR4	2	NC_000002.12	136114349	136118149
7852	CXCR4	2	NC_060926.1	136558831	136562630
3458	IFNG	12	NC_000012.12	68154768	68159740
3458	IFNG	12	NC_060936.1	68134280	68139252
4780	NFE2L2	2	NC_000002.12	177230303	177264727
4780	NFE2L2	2	NC_060926.1	177712539	177746971
3717	JAK2	9	NC_000009.12	4984390	5129948
3717	JAK2	9	NC_060933.1	4989498	5135022
4193	MDM2	12	NC_000012.12	68808172	68850686
4193	MDM2	12	NC_060936.1	68784018	68830265
2944	GSTM1	1	NC_000001.11	109687817	109693745
3605	IL17A	6	NC_000006.12	52186375	52190638
3605	IL17A	6	NC_060930.1	52025075	52029336
4313	MMP2	16	NC_000016.10	55478830	55506691
4313	MMP2	16	NC_060940.1	61276956	61304813
23411	SIRT1	10	NC_000010.11	67884656	67918390
23411	SIRT1	10	NC_060934.1	68753401	68787131
59272	ACE2	X	NC_000023.11	15518197	15607211
59272	ACE2	X	NC_060947.1	15101170	15190203
595	CCND1	11	NC_000011.10	69641156	69654474
595	CCND1	11	NC_060935.1	69658031	69671351
6347	CCL2	17	NC_000017.11	34255285	34257203
6347	CCL2	17	NC_060941.1	35201562	35203480
5594	MAPK1	22	NC_000022.11	21759657	21867680
5594	MAPK1	22	NC_060946.1	22173148	22281196
5290	PIK3CA	3	NC_000003.12	179148126	179240093
5290	PIK3CA	3	NC_060927.1	181951917	182043930
5054	SERPINE1	7	NC_000007.14	101127104	101139247
5054	SERPINE1	7	NC_060931.1	102449908	102462056
920	CD4	12	NC_000012.12	6789528	6820799
920	CD4	12	NC_060936.1	6799096	6830079
3146	HMGB1	13	NC_000013.11	30456704	30617597
3146	HMGB1	13	NC_060937.1	29679118	29839654
5444	PON1	7	NC_000007.14	95297676	95324532
5444	PON1	7	NC_060931.1	96533832	96560687
1234	CCR5	3	NC_000003.12	46370142	46376206
1234	CCR5	3	NC_060927.1	46385976	46392040
1026	CDKN1A	6	NC_000006.12	36676463	36687332
1026	CDKN1A	6	NC_060930.1	36497108	36508013
6647	SOD1	21	NC_000021.9	31659693	31668931
6647	SOD1	21	NC_060945.1	30027677	30036914
4879	NPPB	1	NC_000001.11	11857464	11858945
4879	NPPB	1	NC_060925.1	11401560	11403041
1493	CTLA4	2	NC_000002.12	203867771	203873965
1493	CTLA4	2	NC_060926.1	204349656	204355847
960	CD44	11	NC_000011.10	35139171	35232402
960	CD44	11	NC_060935.1	35277234	35370499
332	BIRC5	17	NC_000017.11	78214253	78225635
332	BIRC5	17	NC_060941.1	79108345	79119727
7097	TLR2	4	NC_000004.12	153684280	153710637
7097	TLR2	4	NC_060928.1	157008777	157030716
4851	NOTCH1	9	NC_000009.12	136494433	136546048
4851	NOTCH1	9	NC_060933.1	148723532	148777907
472	ATM	11	NC_000011.10	108223067	108369102
472	ATM	11	NC_060935.1	108230362	108376596
2146	EZH2	7	NC_000007.14	148807383	148884291
2146	EZH2	7	NC_060931.1	149989157	150066070
2952	GSTT1	22	NT_187633.1	270308	278486
2952	GSTT1	22	NC_060946.1	24441300	24449468
4233	MET	7	NC_000007.14	116672196	116798377
4233	MET	7	NC_060931.1	117987305	118113574
2950	GSTP1	11	NC_000011.10	67583812	67586653
2950	GSTP1	11	NC_060935.1	67578501	67581343
6387	CXCL12	10	NC_000010.11	44370165	44385097
6387	CXCL12	10	NC_060934.1	45251013	45265954
3105	HLA-A	6	NC_000006.12	29942532	29945870
3105	HLA-A	6	NT_167244.2	1200217	1203632
3105	HLA-A	6	NT_113891.3	1421892	1425307
3105	HLA-A	6	NT_167245.2	1198085	1201438
3105	HLA-A	6	NT_167246.2	1197074	1200428
3105	HLA-A	6	NT_167247.2	1286642	1289974
3105	HLA-A	6	NT_167248.2	1197429	1200858
3105	HLA-A	6	NT_167249.2	1240346	1243700
3105	HLA-A	6	NC_060930.1	29806459	29809798
2147	F2	11	NC_000011.10	46719213	46739506
2147	F2	11	NC_060935.1	46875235	46896332
1813	DRD2	11	NC_000011.10	113409605	113475398
1813	DRD2	11	NC_060935.1	113420107	113485882
2908	NR3C1	5	NC_000005.10	143277931	143435512
2908	NR3C1	5	NC_060929.1	143809293	143966896
10413	YAP1	11	NC_000011.10	102110447	102233424
10413	YAP1	11	NC_060935.1	102112538	102235509
50943	FOXP3	X	NC_000023.11	49250438	49264710
50943	FOXP3	X	NC_060947.1	48662300	48676549
5133	PDCD1	2	NC_000002.12	241849884	241858894
5133	PDCD1	2	NT_187527.1	61982	70992
5133	PDCD1	2	NC_060926.1	242351431	242360440
6696	SPP1	4	NC_000004.12	87975714	87983411
6696	SPP1	4	NC_060928.1	91302203	91309899
114548	NLRP3	1	NC_000001.11	247416077	247448817
114548	NLRP3	1	NW_025791757.1	182616	202585
114548	NLRP3	1	NC_060925.1	246852567	246885459
1557	CYP2C19	10	NC_000010.11	94762681	94855547
1557	CYP2C19	10	NC_060934.1	95641807	95734675
2153	F5	1	NC_000001.11	169511951	169586481
2153	F5	1	NC_060925.1	168867198	168942366
3162	HMOX1	22	NC_000022.11	35381096	35394207
3162	HMOX1	22	NC_060946.1	35839114	35852226
3815	KIT	4	NC_000004.12	54657957	54740715
3815	KIT	4	NC_060928.1	58146698	58229411
3606	IL18	11	NC_000011.10	112143260	112164094
3606	IL18	11	NC_060935.1	112153592	112174423
3119	HLA-DQB1	6	NC_000006.12	32659467	32666657
3119	HLA-DQB1	6	NT_113891.3	4072405	4080005
3119	HLA-DQB1	6	NT_167245.2	3900293	3907537
3119	HLA-DQB1	6	NT_167246.2	4076914	4084511
3119	HLA-DQB1	6	NT_167247.2	3955831	3963184
3119	HLA-DQB1	6	NT_167248.2	3853369	3860969
3119	HLA-DQB1	6	NT_167249.2	4056695	4063940
3119	HLA-DQB1	6	NC_060930.1	32482491	32489842
120892	LRRK2	12	NC_000012.12	40224997	40369285
120892	LRRK2	12	NC_060936.1	40177355	40321422
3383	ICAM1	19	NC_000019.10	10271120	10286615
3383	ICAM1	19	NC_060943.1	10397229	10412727
1565	CYP2D6	22	NC_000022.11	42126499	42130810
1565	CYP2D6	22	NW_009646208.1	12065	16376
1565	CYP2D6	22	NW_014040931.1	20088	24399
1565	CYP2D6	22	NW_015148968.1	4240	8551
1565	CYP2D6	22	NW_004504305.1	48826	53137
1565	CYP2D6	22	NT_187682.1	48840	53151
1565	CYP2D6	22	NC_060946.1	42605990	42610301
5970	RELA	11	NC_000011.10	65653601	65663857
5970	RELA	11	NC_060935.1	65647771	65658027
3077	HFE	6	NC_000006.12	26087429	26098343
3077	HFE	6	NC_060930.1	25955571	25966491
142	PARP1	1	NC_000001.11	226360691	226408093
142	PARP1	1	NC_060925.1	225548804	225596198
7515	XRCC1	19	NC_000019.10	43543311	43575527
7515	XRCC1	19	NC_060943.1	46364840	46397157
2932	GSK3B	3	NC_000003.12	119821321	120094447
2932	GSK3B	3	NC_060927.1	122541048	122814129
2100	ESR2	14	NC_000014.9	64226707	64338613
2100	ESR2	14	NC_060938.1	58434422	58546317
154	ADRB2	5	NC_000005.10	148826611	148828623
154	ADRB2	5	NC_060929.1	149361444	149363456
5925	RB1	13	NC_000013.11	48303751	48481890
5925	RB1	13	NC_060937.1	47524085	47702182
3135	HLA-G	6	NC_000006.12	29826474	29831021
3135	HLA-G	6	NT_167244.2	1092086	1096756
3135	HLA-G	6	NT_113891.3	1310036	1314706
3135	HLA-G	6	NT_167245.2	1089287	1093834
3135	HLA-G	6	NT_167246.2	1088961	1093507
3135	HLA-G	6	NT_167247.2	1088945	1093492
3135	HLA-G	6	NT_167248.2	1089240	1093910
3135	HLA-G	6	NT_167249.2	1132505	1137175
3135	HLA-G	6	NC_060930.1	29698275	29702836
79068	FTO	16	NC_000016.10	53703963	54121941
79068	FTO	16	NC_060940.1	59501796	59919950
355	FAS	10	NC_000010.11	88964050	89017059
355	FAS	10	NC_060934.1	89847964	89900944
3958	LGALS3	14	NC_000014.9	55129252	55145430
3958	LGALS3	14	NC_060938.1	49334442	49350620
3565	IL4	5	NC_000005.10	132673989	132682678
3565	IL4	5	NC_060929.1	133193788	133202478
3480	IGF1R	15	NC_000015.10	98648539	98964530
3480	IGF1R	15	NC_060939.1	96412912	96728919
7450	VWF	12	NC_000012.12	5948877	6124670
7450	VWF	12	NC_060936.1	5956421	6132275
177	AGER	6	NC_000006.12	32180969	32184253
177	AGER	6	NT_167244.2	3513571	3516855
177	AGER	6	NT_113891.3	3619321	3622605
177	AGER	6	NT_167246.2	3485950	3489234
177	AGER	6	NT_167247.2	3522988	3526272
177	AGER	6	NT_167248.2	3404170	3407454
177	AGER	6	NT_167249.2	3497176	3500460
177	AGER	6	NC_060930.1	32034160	32037444
857	CAV1	7	NC_000007.14	116525009	116561185
857	CAV1	7	NC_060931.1	117840041	117876175
1432	MAPK14	6	NC_000006.12	36027808	36124214
1432	MAPK14	6	NC_060930.1	35848088	35944528
335	APOA1	11	NC_000011.10	116835751	116837622
335	APOA1	11	NC_060935.1	116850858	116852729
5979	RET	10	NC_000010.11	43077069	43130351
5979	RET	10	NC_060934.1	43954542	44007848
183	AGT	1	NC_000001.11	230702523	230745583
183	AGT	1	NC_060925.1	230083077	230126137
3688	ITGB1	10	NC_000010.11	32900318	32958230
3688	ITGB1	10	NC_060934.1	32929042	32986969
23435	TARDBP	1	NC_000001.11	11012654	11030528
23435	TARDBP	1	NC_060925.1	10553914	10571805
6714	SRC	20	NC_000020.11	37344699	37406050
6714	SRC	20	NW_025791812.1	254201	315552
6714	SRC	20	NC_060944.1	39068774	39130114
4582	MUC1	1	NC_000001.11	155185824	155192915
4582	MUC1	1	NC_060925.1	154325440	154331478
51738	GHRL	3	NC_000003.12	10285666	10292947
51738	GHRL	3	NC_060927.1	10278965	10286246
3630	INS	11	NC_000011.10	2159779	2161209
3630	INS	11	NC_060935.1	2247427	2248857
3934	LCN2	9	NC_000009.12	128149453	128153453
3934	LCN2	9	NC_060933.1	140356542	140360542
2706	GJB2	13	NC_000013.11	20187470	20192938
2706	GJB2	13	NC_060937.1	19383900	19389385
4292	MLH1	3	NC_000003.12	36993466	37050846
4292	MLH1	3	NC_060927.1	36994839	37052189
64127	NOD2	16	NC_000016.10	50693606	50733075
64127	NOD2	16	NC_060940.1	56491240	56530709
5621	PRNP	20	NC_000020.11	4686456	4701588
5621	PRNP	20	NC_060944.1	4725692	4740800
3690	ITGB3	17	NC_000017.11	47253827	47313743
3690	ITGB3	17	NC_060941.1	48116181	48176126
6667	SP1	12	NC_000012.12	53380176	53416446
6667	SP1	12	NC_060936.1	53346223	53382489
836	CASP3	4	NC_000004.12	184627696	184649447
836	CASP3	4	NC_060928.1	187971378	187993131
9429	ABCG2	4	NC_000004.12	88090264	88231626
9429	ABCG2	4	NC_060928.1	91416761	91562592
3417	IDH1	2	NC_000002.12	208236227	208255071
3417	IDH1	2	NC_060926.1	208716002	208734866
5879	RAC1	7	NC_000007.14	6374527	6403967
5879	RAC1	7	NC_060931.1	6493927	6523370
1906	EDN1	6	NC_000006.12	12230516	12297194
1906	EDN1	6	NC_060930.1	12098871	12165580
4000	LMNA	1	NC_000001.11	156082573	156140081
4000	LMNA	1	NC_060925.1	155221038	155278530
4153	MBL2	10	NC_000010.11	52765380	52772784
4153	MBL2	10	NC_060934.1	53612365	53619761
6648	SOD2	6	NC_000006.12	159669069	159762281
6648	SOD2	6	NC_060930.1	160914924	161007912
324	APC	5	NC_000005.10	112707498	112846239
324	APC	5	NC_060929.1	113218062	113356772
1543	CYP1A1	15	NC_000015.10	74719542	74725528
1543	CYP1A1	15	NC_060939.1	72589430	72595416
8626	TP63	3	NC_000003.12	189596746	189897276
8626	TP63	3	NC_060927.1	192413470	192713713
3043	HBB	11	NC_000011.10	5225464	5227071
3043	HBB	11	NC_060935.1	5284832	5286439
338	APOB	2	NC_000002.12	21001429	21044073
338	APOB	2	NW_025791767.1	52097	94741
338	APOB	2	NC_060926.1	21034648	21077293
1559	CYP2C9	10	NC_000010.11	94938658	94990091
1559	CYP2C9	10	NC_060934.1	95817787	95869223
3791	KDR	4	NC_000004.12	55078481	55125595
3791	KDR	4	NC_060928.1	58566962	58614067
4312	MMP1	11	NC_000011.10	102789919	102798160
4312	MMP1	11	NC_060935.1	102793739	102801980
6531	SLC6A3	5	NC_000005.10	1392794	1445440
6531	SLC6A3	5	NT_187547.1	64333	121215
6531	SLC6A3	5	NC_060929.1	1303172	1357405
5595	MAPK3	16	NC_000016.10	30114105	30123220
5595	MAPK3	16	NC_060940.1	30396752	30405867
1027	CDKN1B	12	NC_000012.12	12717368	12722369
1027	CDKN1B	12	NC_060936.1	12590905	12595906
4282	MIF	22	NC_000022.11	23894383	23895223
4282	MIF	22	NT_187633.1	130745	131585
4282	MIF	22	NC_060946.1	24338982	24339822
3725	JUN	1	NC_000001.11	58780791	58784047
3725	JUN	1	NC_060925.1	58659236	58662492
3075	CFH	1	NC_000001.11	196652043	196747504
3075	CFH	1	NW_025791754.1	501706	597238
3075	CFH	1	NC_060925.1	195998386	196093925
185	AGTR1	3	NC_000003.12	148697903	148743003
185	AGTR1	3	NC_060927.1	151448936	151494033
2332	FMR1	X	NC_000023.11	147911919	147951125
2332	FMR1	X	NC_060947.1	146176547	146215797
8743	TNFSF10	3	NC_000003.12	172505508	172523430
8743	TNFSF10	3	NC_060927.1	175290584	175308501
238	ALK	2	NC_000002.12	29192774	29921586
238	ALK	2	NC_060926.1	29236229	29965553
1576	CYP3A4	7	NC_000007.14	99756967	99784184
1576	CYP3A4	7	NC_060931.1	100996482	101023683
5071	PRKN	6	NC_000006.12	161347417	162727766
5071	PRKN	6	NC_060930.1	162705911	164090895
4255	MGMT	10	NC_000010.11	129467241	129770983
4255	MGMT	10	NC_060934.1	130392352	130697970
2322	FLT3	13	NC_000013.11	28003274	28100576
2322	FLT3	13	NC_060937.1	27225623	27323127
5747	PTK2	8	NC_000008.11	140657900	141002079
5747	PTK2	8	NC_060932.1	141777902	142122150
4288	MKI67	10	NC_000010.11	128096659	128126423
4288	MKI67	10	NC_060934.1	128995212	129024955
6772	STAT1	2	NC_000002.12	190969149	191014171
6772	STAT1	2	NC_060926.1	191458256	191503284
3949	LDLR	19	NC_000019.10	11089463	11133820
3949	LDLR	19	NC_060943.1	11216460	11260830
4869	NPM1	5	NC_000005.10	171387116	171410900
4869	NPM1	5	NC_060929.1	171927442	171951228
581	BAX	19	NC_000019.10	48954875	48961798
581	BAX	19	NC_060943.1	51949757	51956683
3557	IL1RN	2	NC_000002.12	113099360	113134014
3557	IL1RN	2	NC_060926.1	113544556	113560594
2033	EP300	22	NC_000022.11	41092592	41180077
2033	EP300	22	NC_060946.1	41567504	41655012
387	RHOA	3	NC_000003.12	49359145	49411976
387	RHOA	3	NC_060927.1	49388518	49441355
255738	PCSK9	1	NC_000001.11	55039548	55064852
255738	PCSK9	1	NC_060925.1	54913987	54945736
5663	PSEN1	14	NC_000014.9	73136417	73223691
5663	PSEN1	14	NC_060938.1	67341963	67429152
1588	CYP19A1	15	NC_000015.10	51208057	51338596
1588	CYP19A1	15	NC_060939.1	49015801	49146366
4982	TNFRSF11B	8	NC_000008.11	118923557	118951885
4982	TNFRSF11B	8	NC_060932.1	120051990	120080310
6331	SCN5A	3	NC_000003.12	38548062	38649687
6331	SCN5A	3	NC_060927.1	38554106	38661891
861	RUNX1	21	NC_000021.9	34787801	35049302
861	RUNX1	21	NC_060945.1	33170406	33432142
7276	TTR	18	NC_000018.10	31591877	31598821
7276	TTR	18	NC_060942.1	31782391	31789335
3107	HLA-C	6	NC_000006.12	31268749	31272092
3107	HLA-C	6	NT_113891.3	2749675	2753062
3107	HLA-C	6	NT_167245.2	2526549	2529880
3107	HLA-C	6	NT_167246.2	2577801	2581132
3107	HLA-C	6	NT_167247.2	2611478	2614809
3107	HLA-C	6	NT_167248.2	2524181	2527512
3107	HLA-C	6	NT_167249.2	2570707	2574038
3107	HLA-C	6	NC_060930.1	31134915	31138292
7490	WT1	11	NC_000011.10	32387775	32435539
7490	WT1	11	NC_060935.1	32523264	32571024
54658	UGT1A1	2	NC_000002.12	233760270	233773300
54658	UGT1A1	2	NC_060926.1	234248901	234261929
5265	SERPINA1	14	NC_000014.9	94376747	94390635
5265	SERPINA1	14	NT_187601.1	1493319	1507207
5265	SERPINA1	14	NC_060938.1	88606265	88620155
3320	HSP90AA1	14	NC_000014.9	102080742	102139749
3320	HSP90AA1	14	NC_060938.1	96316329	96375332
19	ABCA1	9	NC_000009.12	104781006	104928155
19	ABCA1	9	NC_060933.1	116955789	117102979
7428	VHL	3	NC_000003.12	10141778	10153667
7428	VHL	3	NC_060927.1	10134670	10146564
6934	TCF7L2	10	NC_000010.11	112950247	113167678
6934	TCF7L2	10	NC_060934.1	113841538	114058955
929	CD14	5	NC_000005.10	140631732	140633701
929	CD14	5	NC_060929.1	141157140	141159109
3082	HGF	7	NC_000007.14	81699010	81770047
3082	HGF	7	NC_060931.1	82951060	83022099
1277	COL1A1	17	NC_000017.11	50184101	50201631
1277	COL1A1	17	NC_060941.1	51051162	51068680
217	ALDH2	12	NC_000012.12	111766933	111817532
217	ALDH2	12	NC_060936.1	111743846	111794443
2157	F8	X	NC_000023.11	154835792	155022723
2157	F8	X	NC_060947.1	153072193	153259125
4204	MECP2	X	NC_000023.11	154021573	154097717
4204	MECP2	X	NC_060947.1	152295254	152371375
3757	KCNH2	7	NC_000007.14	150944961	150978321
3757	KCNH2	7	NC_060931.1	152117824	152151201
2247	FGF2	4	NC_000004.12	122826682	122898236
2247	FGF2	4	NC_060928.1	126130781	126202343
2335	FN1	2	NC_000002.12	215360865	215436068
2335	FN1	2	NC_060926.1	215845895	215921094
4843	NOS2	17	NC_000017.11	27756766	27800529
4843	NOS2	17	NC_060941.1	28698170	28741926
8074	FGF23	12	NC_000012.12	4368227	4379712
8074	FGF23	12	NC_060936.1	4375010	4386480
3064	HTT	4	NC_000004.12	3074681	3243960
3064	HTT	4	NC_060928.1	3073408	3242718
54106	TLR9	3	NC_000003.12	52221080	52225645
54106	TLR9	3	NC_060927.1	52253966	52258531
2697	GJA1	6	NC_000006.12	121435646	121449727
2697	GJA1	6	NC_060930.1	122622700	122636781
3309	HSPA5	9	NC_000009.12	125234853	125241343
3309	HSPA5	9	NC_060933.1	137433170	137439661
3552	IL1A	2	NC_000002.12	112773925	112784493
3552	IL1A	2	NC_060926.1	113200569	113210953
196	AHR	7	NC_000007.14	17298652	17346147
196	AHR	7	NC_060931.1	17428395	17475891
5781	PTPN11	12	NC_000012.12	112418947	112509918
5781	PTPN11	12	NC_060936.1	112395849	112486820
1471	CST3	20	NC_000020.11	23626706	23637955
1471	CST3	20	NC_060944.1	23686282	23697531
213	ALB	4	NC_000004.12	73404287	73421482
213	ALB	4	NC_060928.1	76747989	76765185
4023	LPL	8	NC_000008.11	19939253	19967259
4023	LPL	8	NC_060932.1	20204296	20232297
10891	PPARGC1A	4	NC_000004.12	23792021	24472905
10891	PPARGC1A	4	NC_060928.1	23773791	24454625
3065	HDAC1	1	NC_000001.11	32292083	32333626
3065	HDAC1	1	NC_060925.1	32150000	32191544
9518	GDF15	19	NC_000019.10	18386158	18389176
9518	GDF15	19	NC_060943.1	18515920	18523324
841	CASP8	2	NC_000002.12	201233463	201287711
841	CASP8	2	NC_060926.1	201716914	201768369
3039	HBA1	16	NC_000016.10	176680	177522
3039	HBA1	16	NC_060940.1	170722	171564
1869	E2F1	20	NC_000020.11	33675477	33686385
1869	E2F1	20	NC_060944.1	35402008	35412916
5241	PGR	11	NC_000011.10	101029624	101129813
5241	PGR	11	NC_060935.1	101039187	101139328
7316	UBC	12	NC_000012.12	124911646	124914650
7316	UBC	12	NC_060936.1	124916854	124919858
2321	FLT1	13	NC_000013.11	28300346	28495128
2321	FLT1	13	NC_060937.1	27522576	27717351
282617	IFNL3	19	NC_000019.10	39243455	39245250
282617	IFNL3	19	NW_025791808.1	23838	25633
282617	IFNL3	19	NC_060943.1	42047720	42049515
6790	AURKA	20	NC_000020.11	56369390	56392215
6790	AURKA	20	NC_060944.1	58146836	58169709
6513	SLC2A1	1	NC_000001.11	42925353	42958868
6513	SLC2A1	1	NC_060925.1	42795821	42829338
6657	SOX2	3	NC_000003.12	181711925	181714436
6657	SOX2	3	NC_060927.1	184516501	184519012
2068	ERCC2	19	NC_000019.10	45349837	45370573
2068	ERCC2	19	NC_060943.1	48177079	48197811
1071	CETP	16	NC_000016.10	56961950	56983845
1071	CETP	16	NC_060940.1	62758278	62780157
3627	CXCL10	4	NC_000004.12	76021118	76023497
3627	CXCL10	4	NC_060928.1	79361779	79364158
3558	IL2	4	NC_000004.12	122451470	122456725
3558	IL2	4	NC_060928.1	125755609	125760864
983	CDK1	10	NC_000010.11	60778331	60794852
983	CDK1	10	NC_060934.1	61635069	61651590
3356	HTR2A	13	NC_000013.11	46831546	46898082
3356	HTR2A	13	NC_060937.1	46052771	46119333
4089	SMAD4	18	NC_000018.10	51030213	51085042
4089	SMAD4	18	NC_060942.1	51231926	51286759
1815	DRD4	11	NC_000011.10	637269	640706
1815	DRD4	11	NT_187586.1	167142	170577
